rank,title,heat,tag,brief,link,trend,fetched_at,source
40,带你破译中国航天“暗语”,4062750,,神舟发射时，数万航天人通过这些神秘呼号紧密相连，实现“千人一枚箭，万人一杆枪”的完美协作！带你破译中国航天“暗语”。 查看更多>,https://www.baidu.com/s?wd=%E5%B8%A6%E4%BD%A0%E7%A0%B4%E8%AF%91%E4%B8%AD%E5%9B%BD%E8%88%AA%E5%A4%A9%E2%80%9C%E6%9A%97%E8%AF%AD%E2%80%9D&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
41,KT战胜CFO,3993487,,北京时间10月29日，英雄联盟S15世界赛1/4决赛第二场，LCK赛区三号种子KT对阵LCP赛区一号种子CFO，以3-0... 查看更多>,https://www.baidu.com/s?wd=KT%E6%88%98%E8%83%9CCFO&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
42,多款儿童类APP出现擦边广告,3906377,,查看更多>,https://www.baidu.com/s?wd=%E5%A4%9A%E6%AC%BE%E5%84%BF%E7%AB%A5%E7%B1%BBAPP%E5%87%BA%E7%8E%B0%E6%93%A6%E8%BE%B9%E5%B9%BF%E5%91%8A&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
43,中小学生竞赛活动“白名单”公布,3791195,,教育部10月29日公布2025—2028学年面向中小学生的47项全国性竞赛活动名单，涵盖人工智能、无人机等自然科学类赛事... 查看更多>,https://www.baidu.com/s?wd=%E4%B8%AD%E5%B0%8F%E5%AD%A6%E7%94%9F%E7%AB%9E%E8%B5%9B%E6%B4%BB%E5%8A%A8%E2%80%9C%E7%99%BD%E5%90%8D%E5%8D%95%E2%80%9D%E5%85%AC%E5%B8%83&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
44,万吨大驱连射新型导弹,3694751,,查看更多>,https://www.baidu.com/s?wd=%E4%B8%87%E5%90%A8%E5%A4%A7%E9%A9%B1%E8%BF%9E%E5%B0%84%E6%96%B0%E5%9E%8B%E5%AF%BC%E5%BC%B9&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
45,北师大心理学部原副部长刘力逝世,3612270,,10月29日，北京师范大学心理学部官网发布一则讣告，标题为“著名心理学家刘力教授逝世”。据讣告内容，北京师范大学心理学部... 查看更多>,https://www.baidu.com/s?wd=%E5%8C%97%E5%B8%88%E5%A4%A7%E5%BF%83%E7%90%86%E5%AD%A6%E9%83%A8%E5%8E%9F%E5%89%AF%E9%83%A8%E9%95%BF%E5%88%98%E5%8A%9B%E9%80%9D%E4%B8%96&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
46,武汉10月竟然有樱花开放,3501460,,近日，武汉大学、常青公园等地少数樱花开了，与秋香撞个满怀。专家解释：气温大幅震荡，定力不足的樱花受骗开花。 查看更多>,https://www.baidu.com/s?wd=%E6%AD%A6%E6%B1%8910%E6%9C%88%E7%AB%9F%E7%84%B6%E6%9C%89%E6%A8%B1%E8%8A%B1%E5%BC%80%E6%94%BE&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
47,韩国会议员开会时专心画大猩猩,3393627,,10月27日，韩国国民力量党籍国会议员、朴槿惠的律师柳荣夏，被拍到在参加国会国政监察时，跟着笔记本电脑上的图片，专心画大... 查看更多>,https://www.baidu.com/s?wd=%E9%9F%A9%E5%9B%BD%E4%BC%9A%E8%AE%AE%E5%91%98%E5%BC%80%E4%BC%9A%E6%97%B6%E4%B8%93%E5%BF%83%E7%94%BB%E5%A4%A7%E7%8C%A9%E7%8C%A9&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
48,餐馆制度引争议：24条有18条扣员工钱,3332758,,近日，吉林一位网友发帖称，在一家餐馆看到《员工规章制度》，内容多达24条，其中18条要扣员工的钱。餐馆回应：“给顾客看的... 查看更多>,https://www.baidu.com/s?wd=%E9%A4%90%E9%A6%86%E5%88%B6%E5%BA%A6%E5%BC%95%E4%BA%89%E8%AE%AE%EF%BC%9A24%E6%9D%A1%E6%9C%8918%E6%9D%A1%E6%89%A3%E5%91%98%E5%B7%A5%E9%92%B1&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
49,名创优品有门店用糖果找零,3200491,,查看更多>,https://www.baidu.com/s?wd=%E5%90%8D%E5%88%9B%E4%BC%98%E5%93%81%E6%9C%89%E9%97%A8%E5%BA%97%E7%94%A8%E7%B3%96%E6%9E%9C%E6%89%BE%E9%9B%B6&sa=fyb_news&rsv_dl=fyb_news,,2025-10-29 22:19:38 +0800,https://top.baidu.com/board?tab=realtime
